Unnamed: 0,prompt,response
0,হাই! কেমন চলছে?,আমি ভালো আছি. তোমার কি অবস্থা?
1,আমি ভালো আছি. তোমার কি অবস্থা?,আমি অনেক ভালো. জিজ্ঞাসা করার জন্য ধন্যবাদ.
2,আমি অনেক ভালো. জিজ্ঞাসা করার জন্য ধন্যবাদ.,সমস্যা নেই. তারপর কেমন ছিলে?
3,সমস্যা নেই. তারপর কেমন ছিলে?,আমি দুর্দান্ত হয়েছি।তোমার খবর কি?
4,আমি দুর্দান্ত হয়েছি।তোমার খবর কি?,আমি ভালোই আছি.আমি এখনই স্কুলে আছি।
5,আমি ভালোই আছি.আমি এখনই স্কুলে আছি।,তুমি কোন স্কুলে যাও?
6,তুমি কোন স্কুলে যাও?,আমি পিসিসিতে যাই।
7,আমি পিসিসিতে যাই।,তুমি কি সেখানে পছন্দ করো?
8,তুমি কি সেখানে পছন্দ করো?,ঠিক আছে.এটি সত্যিই একটি বড় ক্যাম্পাস।
9,ঠিক আছে.এটি সত্যিই একটি বড় ক্যাম্পাস।,স্কুলের সাথে শুভকামনা।
10,স্কুলের সাথে শুভকামনা।,আপনাকে অনেক ধন্যবাদ.
11,কেমন চলছে?,আমি ভাল করছি. তোমার কী অবস্থা?
12,আমি ভাল করছি. তোমার কী অবস্থা?,"ধন্যবাদ, ধন্যবাদ।"
13,"ধন্যবাদ, ধন্যবাদ।",তাহলে আপনি ইদানীং কেমন আছেন?
14,তাহলে আপনি ইদানীং কেমন আছেন?,আমি আসলে বেশ ভাল হয়েছি।আপনি?
15,আমি আসলে বেশ ভাল হয়েছি।আপনি?,আমি এখনই স্কুলে আছি।
16,আমি এখনই স্কুলে আছি।,আপনি কোন স্কুলে যোগ দেন?
17,আপনি কোন স্কুলে যোগ দেন?,আমি এখনই পিসিসিতে অংশ নিচ্ছি।
18,আমি এখনই পিসিসিতে অংশ নিচ্ছি।,আপনি কি সেখানে উপভোগ করছেন?
19,আপনি কি সেখানে উপভোগ করছেন?,এটা খারাপ না.সেখানে অনেক লোক আছে।
20,এটা খারাপ না.সেখানে অনেক লোক আছে।,শুভকামনা যে।
21,শুভকামনা যে।,ধন্যবাদ।
22,আপনি আজ কি করছেন?,আমি খুব ভাল করছি. তোমার খবর কি?
23,আমি খুব ভাল করছি. তোমার খবর কি?,"আমি একেবারে সুন্দর, আপনাকে ধন্যবাদ।"
24,"আমি একেবারে সুন্দর, আপনাকে ধন্যবাদ।",সব কি তোমার সাথে ভাল হয়েছে?
25,সব কি তোমার সাথে ভাল হয়েছে?,আমি ভাল ছিল না।তোমার কি অবস্থা?
26,আমি ভাল ছিল না।তোমার কি অবস্থা?,আমি সম্প্রতি স্কুল শুরু করেছি।
27,আমি সম্প্রতি স্কুল শুরু করেছি।,আপনি কোথায় স্কুলে যাচ্ছেন?
28,আপনি কোথায় স্কুলে যাচ্ছেন?,আমি পিসিসি যাচ্ছি।
29,আমি পিসিসি যাচ্ছি।,এখন পর্যন্ত এটা তোমার কেমন লাগলো?
30,এখন পর্যন্ত এটা তোমার কেমন লাগলো?,আমি এখন পর্যন্ত এটি পছন্দ করি।আমার ক্লাসগুলি এখনই বেশ ভাল।
31,আমি এখন পর্যন্ত এটি পছন্দ করি।আমার ক্লাসগুলি এখনই বেশ ভাল।,আপনার সৌভাগ্য কামনা করছি.
32,এটি আজ একটি কুৎসিত দিন।,আমি জানি.আমি মনে করি বৃষ্টি হতে পারে।
33,আমি জানি.আমি মনে করি বৃষ্টি হতে পারে।,"এটি গ্রীষ্মের মাঝামাঝি, আজ বৃষ্টি হওয়া উচিত নয়।"
34,"এটি গ্রীষ্মের মাঝামাঝি, আজ বৃষ্টি হওয়া উচিত নয়।",এটা অদ্ভুত হবে।
35,এটা অদ্ভুত হবে।,"হ্যাঁ, বিশেষত যেহেতু এটি বাইরে নব্বই ডিগ্রি।"
36,"হ্যাঁ, বিশেষত যেহেতু এটি বাইরে নব্বই ডিগ্রি।","আমি জানি, বৃষ্টি হলে এটি ভয়াবহ হবে এবং বাইরে গরম ছিল।"
37,"আমি জানি, বৃষ্টি হলে এটি ভয়াবহ হবে এবং বাইরে গরম ছিল।","হ্যাঁ, এটা হবে।"
38,"হ্যাঁ, এটা হবে।",আমি সত্যিই আশা করি এটি প্রতিদিন এত গরম না হত।
39,আমি সত্যিই আশা করি এটি প্রতিদিন এত গরম না হত।,আমিও.আমি শীত পর্যন্ত অপেক্ষা করতে পারি না।
40,আমিও.আমি শীত পর্যন্ত অপেক্ষা করতে পারি না।,আমি শীত খুব পছন্দ করি তবে কখনও কখনও এটি খুব ঠান্ডা হয়ে যায়।
41,আমি শীত খুব পছন্দ করি তবে কখনও কখনও এটি খুব ঠান্ডা হয়ে যায়।,আমি বরং গরমের চেয়ে ঠান্ডা থাকতাম।
42,আমি বরং গরমের চেয়ে ঠান্ডা থাকতাম।,আমিও.
43,এটি আজ বাইরে খুব সুন্দর দেখাচ্ছে না।,তুমি ঠিক বলছো.আমি মনে করি এটি পরে বৃষ্টি হবে।
44,তুমি ঠিক বলছো.আমি মনে করি এটি পরে বৃষ্টি হবে।,গ্রীষ্মের মাঝামাঝি সময়ে বৃষ্টি হওয়া উচিত নয়।
45,গ্রীষ্মের মাঝামাঝি সময়ে বৃষ্টি হওয়া উচিত নয়।,এটা ঠিক মনে হবে না।
46,এটা ঠিক মনে হবে না।,"এটি বাইরে নব্বই ডিগ্রি বেশি বিবেচনা করে, এটি অদ্ভুত হবে।"
47,"এটি বাইরে নব্বই ডিগ্রি বেশি বিবেচনা করে, এটি অদ্ভুত হবে।",এটা অনেক গরম.
48,এটা অনেক গরম.,"আমি জানি, আপনি একেবারে ঠিক বলেছেন।"
49,"আমি জানি, আপনি একেবারে ঠিক বলেছেন।",আমি আশা করি এটি একদিন শীতল হবে।
50,আমি আশা করি এটি একদিন শীতল হবে।,"আমি এটাই অনুভব করি, আমি শীত শীঘ্রই আসতে চাই।"
51,"আমি এটাই অনুভব করি, আমি শীত শীঘ্রই আসতে চাই।","আমি শীত উপভোগ করি, তবে মাঝে মাঝে সত্যিই ঠান্ডা হয়ে যায়।"
52,"আমি শীত উপভোগ করি, তবে মাঝে মাঝে সত্যিই ঠান্ডা হয়ে যায়।",আমি জানি আপনি কী বলতে চাইছেন তবে আমি বরং গরমের চেয়ে ঠান্ডা থাকতাম।
53,আমি জানি আপনি কী বলতে চাইছেন তবে আমি বরং গরমের চেয়ে ঠান্ডা থাকতাম।,আমি ঠিক এভাবে অনুভব করি।
54,আমি আশা করি এটি আজ একটি সুন্দর দিন ছিল।,ঐটা সত্য.আমি আশা করি বৃষ্টি হবে না।
55,ঐটা সত্য.আমি আশা করি বৃষ্টি হবে না।,গ্রীষ্মের মাঝামাঝি সময়ে বৃষ্টি হবে না।
56,গ্রীষ্মের মাঝামাঝি সময়ে বৃষ্টি হবে না।,এখনই বৃষ্টি শুরু করলে এটি ঠিক মনে হবে না।
57,এখনই বৃষ্টি শুরু করলে এটি ঠিক মনে হবে না।,এটি যদি নব্বই ডিগ্রি আবহাওয়ায় বৃষ্টি শুরু করে তবে এটি অদ্ভুত হবে।
58,এটি যদি নব্বই ডিগ্রি আবহাওয়ায় বৃষ্টি শুরু করে তবে এটি অদ্ভুত হবে।,এখনই যে কোনও বৃষ্টি অর্থহীন হবে।
59,এখনই যে কোনও বৃষ্টি অর্থহীন হবে।,"এটা ঠিক, এটা সত্যিই হবে।"
60,"এটা ঠিক, এটা সত্যিই হবে।",আমি এটি কিছু শীতল করতে চাই।
